city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
São José do Rio Preto,3549805.0,2020-03-18,202012,464983.0,460671.0,False,False,1,0.21506,2020-03-18,0.0,0,1,city,SP,1,0
São José do Rio Preto,3549805.0,2020-03-19,202012,464983.0,460671.0,False,False,1,0.21506,2020-03-19,0.0,0,2,city,SP,0,0
São José do Rio Preto,3549805.0,2020-03-20,202012,464983.0,460671.0,False,False,1,0.21506,2020-03-20,0.0,0,3,city,SP,0,0
São José do Rio Preto,3549805.0,2020-03-21,202012,464983.0,460671.0,False,True,1,0.21506,2020-03-20,0.0,0,4,city,SP,0,0
São José do Rio Preto,3549805.0,2020-03-22,202013,464983.0,460671.0,False,True,1,0.21506,2020-03-20,0.0,0,5,city,SP,0,0
São José do Rio Preto,3549805.0,2020-03-23,202013,464983.0,460671.0,False,True,1,0.21506,2020-03-20,0.0,0,6,city,SP,0,0
São José do Rio Preto,3549805.0,2020-03-24,202013,464983.0,460671.0,False,True,1,0.21506,2020-03-20,0.0,0,7,city,SP,0,0
São José do Rio Preto,3549805.0,2020-03-25,202013,464983.0,460671.0,False,False,1,0.21506,2020-03-25,0.0,0,8,city,SP,0,0
São José do Rio Preto,3549805.0,2020-03-26,202013,464983.0,460671.0,False,False,1,0.21506,2020-03-26,0.0,0,9,city,SP,0,0
São José do Rio Preto,3549805.0,2020-03-27,202013,464983.0,460671.0,False,False,1,0.21506,2020-03-27,0.0,0,10,city,SP,0,0
São José do Rio Preto,3549805.0,2020-03-28,202013,464983.0,460671.0,False,True,1,0.21506,2020-03-27,0.0,0,11,city,SP,0,0
São José do Rio Preto,3549805.0,2020-03-29,202014,464983.0,460671.0,False,True,1,0.21506,2020-03-27,0.0,0,12,city,SP,0,0
São José do Rio Preto,3549805.0,2020-03-30,202014,464983.0,460671.0,False,False,3,0.64518,2020-03-30,0.0,0,13,city,SP,2,0
São José do Rio Preto,3549805.0,2020-03-31,202014,464983.0,460671.0,False,False,6,1.29037,2020-03-31,0.0,0,14,city,SP,3,0
São José do Rio Preto,3549805.0,2020-04-01,202014,464983.0,460671.0,False,False,7,1.5054299999999998,2020-04-01,0.0,0,15,city,SP,1,0
São José do Rio Preto,3549805.0,2020-04-02,202014,464983.0,460671.0,False,False,7,1.5054299999999998,2020-04-02,0.0,0,16,city,SP,0,0
São José do Rio Preto,3549805.0,2020-04-03,202014,464983.0,460671.0,False,False,7,1.5054299999999998,2020-04-03,0.0,0,17,city,SP,0,0
São José do Rio Preto,3549805.0,2020-04-04,202014,464983.0,460671.0,False,False,9,1.93555,2020-04-04,0.0,0,18,city,SP,2,0
São José do Rio Preto,3549805.0,2020-04-05,202015,464983.0,460671.0,False,False,10,2.15062,2020-04-05,0.0,0,19,city,SP,1,0
São José do Rio Preto,3549805.0,2020-04-06,202015,464983.0,460671.0,False,False,13,2.7958,2020-04-06,0.0,0,20,city,SP,3,0
São José do Rio Preto,3549805.0,2020-04-07,202015,464983.0,460671.0,False,False,28,6.021730000000001,2020-04-07,0.0357,1,21,city,SP,15,1
São José do Rio Preto,3549805.0,2020-04-08,202015,464983.0,460671.0,False,False,36,7.74222,2020-04-08,0.0278,1,22,city,SP,8,0
São José do Rio Preto,3549805.0,2020-04-09,202015,464983.0,460671.0,False,False,41,8.81753,2020-04-09,0.0244,1,23,city,SP,5,0
São José do Rio Preto,3549805.0,2020-04-10,202015,464983.0,460671.0,False,False,41,8.81753,2020-04-10,0.0244,1,24,city,SP,0,0
São José do Rio Preto,3549805.0,2020-04-11,202015,464983.0,460671.0,False,False,40,8.60247,2020-04-11,0.025,1,25,city,SP,-1,0
São José do Rio Preto,3549805.0,2020-04-12,202016,464983.0,460671.0,False,False,44,9.462710000000001,2020-04-12,0.0227,1,26,city,SP,4,0
São José do Rio Preto,3549805.0,2020-04-13,202016,464983.0,460671.0,False,False,46,9.89283,2020-04-13,0.0217,1,27,city,SP,2,0
São José do Rio Preto,3549805.0,2020-04-14,202016,464983.0,460671.0,False,False,56,12.04345,2020-04-14,0.0536,3,28,city,SP,10,2
São José do Rio Preto,3549805.0,2020-04-15,202016,464983.0,460671.0,False,False,61,13.11876,2020-04-15,0.0492,3,29,city,SP,5,0
São José do Rio Preto,3549805.0,2020-04-16,202016,464983.0,460671.0,False,False,65,13.97901,2020-04-16,0.0462,3,30,city,SP,4,0
São José do Rio Preto,3549805.0,2020-04-17,202016,464983.0,460671.0,False,False,68,14.624189999999999,2020-04-17,0.0588,4,31,city,SP,3,1
São José do Rio Preto,3549805.0,2020-04-18,202016,464983.0,460671.0,False,False,70,15.054310000000001,2020-04-18,0.0571,4,32,city,SP,2,0
São José do Rio Preto,3549805.0,2020-04-19,202017,464983.0,460671.0,False,False,71,15.269379999999998,2020-04-19,0.0845,6,33,city,SP,1,2
São José do Rio Preto,3549805.0,2020-04-20,202017,464983.0,460671.0,False,False,71,15.269379999999998,2020-04-20,0.0986,7,34,city,SP,0,1
São José do Rio Preto,3549805.0,2020-04-21,202017,464983.0,460671.0,False,False,72,15.48444,2020-04-21,0.1111,8,35,city,SP,1,1
São José do Rio Preto,3549805.0,2020-04-22,202017,464983.0,460671.0,False,False,73,15.6995,2020-04-22,0.1096,8,36,city,SP,1,0
